TEMPO;LOAD;FIO2;FEO2;FECO2;FETO2;FETCO2;VE;TI;TE;HR;VO2
498.0;150;20.78;14.1508759385055;5.82409724705041;12.76;6.82;47.4392713120184;1.629;1.98;105;2550.00507609613
501.0;150;20.76;14.2541436464088;5.77163904235727;12.88;6.79;48.0453871247233;1.534;1.925;105;2527.68951934197
506.0;150;20.76;14.2895035998484;5.77491474043198;12.92;6.78;47.164066119396;1.567;1.858;105;2462.25995297993
509.0;150;20.75;14.2520612485277;5.81468394189242;12.89;6.82;45.6264197248049;1.613;1.804;105;2387.92829593915
512.0;150;20.76;14.1353383458647;5.90819153146023;12.79;6.88;44.3976027217064;1.71;1.774;105;2370.41636707905
515.0;150;20.76;14.0939597315436;5.93762337149625;12.75;6.89;44.7341362889772;1.714;1.752;106;2405.16874037322
518.0;150;20.76;14.0936136453788;5.93811979373265;12.77;6.88;45.1738815536461;1.702;1.714;106;2428.74587106124
521.0;150;20.75;14.2011128775835;5.87440381558029;12.88;6.82;47.1549057893285;1.572;1.694;106;2487.31434196647
524.0;150;20.74;14.3281187324509;5.79622944243883;13.01;6.77;48.9573499336312;1.432;1.685;106;2524.02787617123
526.0;150;20.73;14.4660982541616;5.7206658546488;13.15;6.72;50.7792917707237;1.294;1.675;106;2551.37144121879
529.0;150;20.74;14.5210569777044;5.70602807597027;13.2;6.71;50.7893282689107;1.269;1.65;107;2528.20325936322
533.0;150;20.76;14.5379537953795;5.70957095709571;13.22;6.72;51.0060062044255;1.272;1.637;108;2538.20262076775
535.0;150;20.78;14.5558272208639;5.70904645476773;13.24;6.72;51.4251333531406;1.286;1.635;109;2558.10517918201
538.0;150;20.8;14.6039404905509;5.68556493767592;13.29;6.7;52.2060326639089;1.292;1.624;109;2585.11369139111
542.0;200;20.8;14.634242783709;5.70185844207197;13.35;6.69;51.618429714621;1.389;1.61;110;2538.23477036696
545.0;200;20.81;14.643137254902;5.72156862745098;13.4;6.68;50.8599252027512;1.476;1.593;110;2500.54333478908
548.0;200;20.81;14.6518987341772;5.75553797468354;13.45;6.67;49.6446773494664;1.552;1.565;111;2431.59037334252
550.0;200;20.83;14.6707818930041;5.76131687242798;13.48;6.66;48.9127722932732;1.517;1.524;111;2390.60948810159
553.0;200;20.83;14.6500644053242;5.77501073422069;13.46;6.67;47.823343690646;1.489;1.492;111;2341.34162443678
556.0;200;20.83;14.6541722445337;5.7429718875502;13.45;6.66;47.9296935520577;1.374;1.488;111;2345.4138983379
559.0;200;20.82;14.677565849228;5.69028156221617;13.44;6.63;48.5720856675259;1.267;1.508;110;2365.21413767868
561.0;200;20.8;14.7123287671233;5.63013698630137;13.44;6.6;49.8338292702767;1.154;1.536;110;2407.05069942005
564.0;200;20.78;14.6863799283154;5.61827956989247;13.41;6.59;50.2293677217773;1.148;1.572;109;2434.15380642059
568.0;200;20.77;14.6738660907127;5.61555075593953;13.37;6.61;50.6448991135641;1.168;1.63;109;2459.86818293936
570.0;200;20.78;14.6474760116813;5.62369628702545;13.32;6.63;51.141081847476;1.203;1.666;109;2503.34059637497
573.0;200;20.8;14.5982142857143;5.64123376623377;13.25;6.66;51.5817129559303;1.242;1.682;109;2559.67751905233
576.0;200;20.81;14.5323741007194;5.67146282973621;13.17;6.7;52.021386713955;1.27;1.674;109;2617.52727351698
579.0;200;20.83;14.4695787831513;5.69422776911076;13.09;6.74;52.6487991510589;1.3;1.681;110;2690.87955766027
582.0;200;20.84;14.4099616858238;5.71264367816092;13.02;6.76;53.4678030116945;1.307;1.681;111;2769.23764263909
585.0;200;20.84;14.3721633888048;5.7375189107413;12.97;6.78;54.0377240528346;1.309;1.686;112;2816.11210188775
588.0;200;20.83;14.3319533308242;5.75837410613474;12.93;6.81;54.6501115404709;1.298;1.678;113;2863.61815735078
591.0;200;20.83;14.3245283018868;5.76981132075472;12.94;6.82;54.8378133987186;1.292;1.666;115;2876.14211151937
595.0;200;20.82;14.2583552384529;5.83552384528727;12.9;6.87;54.4988299697798;1.338;1.653;116;2881.95467488786
599.0;200;20.82;14.1289134438306;5.94843462246777;12.82;6.94;53.4369755834141;1.438;1.672;117;2884.18498454475
603.0;200;20.82;13.993655269651;6.05921748325696;12.69;7.03;52.5913951543128;1.57;1.732;118;2902.03093694811
605.0;200;20.82;13.9246947082768;6.10922659430122;12.61;7.09;52.6864975066236;1.643;1.782;118;2941.00285379229
608.0;200;20.82;13.9523498694517;6.10313315926893;12.59;7.1;53.8632332567888;1.671;1.811;119;2995.17631134637
611.0;200;20.82;14.062099871959;6.04033290653009;12.67;7.07;56.3253205160055;1.601;1.794;119;3079.10558954661
614.0;200;20.82;14.2538975501114;5.92745784282533;12.85;7;59.19614770868;1.502;1.748;120;3135.83990084004
617.0;200;20.83;14.4520997375328;5.81692913385827;13.06;6.91;61.9430264098114;1.354;1.658;120;3176.87343463864
619.0;200;20.82;14.5913869108172;5.75449304849101;13.22;6.85;63.1162466349816;1.279;1.581;121;3149.8756411565
623.0;200;20.8;14.5779784647447;5.79715178881556;13.26;6.87;61.8776918067875;1.312;1.536;122;3079.44802927817
626.0;200;20.78;14.5238925706313;5.87373561213812;13.24;6.91;59.8544097119341;1.402;1.53;123;2993.18372378258
629.0;200;20.75;14.4502801120448;5.94887955182073;13.2;6.96;58.8024903131223;1.462;1.511;123;2959.25493989761
631.0;200;20.73;14.4560305874174;5.9541188738269;13.2;6.95;59.9201236590703;1.446;1.493;124;3002.49376186157
634.0;200;20.72;14.4857241142071;5.93395252837977;13.23;6.94;61.2746507954054;1.412;1.492;124;3050.89999284845
637.0;200;20.72;14.6023688663283;5.85109983079526;13.31;6.89;63.7124811099744;1.327;1.512;125;3108.9713044395
640.0;200;20.74;14.719892653472;5.77993961757799;13.37;6.85;65.1217811147825;1.248;1.554;125;3121.55417064769
643.0;200;20.77;14.8111935266352;5.72151045178692;13.43;6.81;65.708671533006;1.183;1.58;124;3112.67624342994
645.0;200;20.8;14.7983595352016;5.73820915926179;13.42;6.83;63.7609835568633;1.199;1.61;124;3041.63543253323
648.0;200;20.82;14.7521663778163;5.76776429809359;13.38;6.87;62.2470690027849;1.218;1.619;124;3002.88782123946
651.0;200;20.83;14.7097902097902;5.79370629370629;13.34;6.9;61.2114158616641;1.235;1.625;124;2979.54581210603
654.0;200;20.84;14.6857344632768;5.79802259887006;13.33;6.91;60.9960343843183;1.238;1.604;124;2987.25721655803
656.0;200;20.84;14.6898263027295;5.80290677064871;13.33;6.92;61.5167097063606;1.228;1.579;124;3010.51923065235
660.0;200;20.85;14.7382825863839;5.78857338351009;13.34;6.92;62.8013227671618;1.258;1.591;125;3053.97929129755
663.0;250;20.85;14.7818902842036;5.78982154659617;13.33;6.94;63.4769514727195;1.292;1.626;126;3061.45102816628
665.0;250;20.86;14.7895077720207;5.79339378238342;13.32;6.95;63.9664474385173;1.311;1.644;128;3086.32314695624
667.0;250;20.85;14.7777411919658;5.79848534738229;13.33;6.95;64.8635973384067;1.265;1.601;129;3128.81308545437
670.0;250;20.85;14.7706117021277;5.78457446808511;13.37;6.92;66.4227773852401;1.22;1.552;131;3210.41494368914
673.0;250;20.84;14.7863247863248;5.76068376068376;13.44;6.86;67.7424863395261;1.156;1.487;132;3259.70780025657
675.0;250;20.83;14.8122392211405;5.73018080667594;13.51;6.81;69.1453385774335;1.111;1.435;133;3304.33266738242
678.0;250;20.83;14.85935302391;5.69971870604782;13.58;6.76;70.3659121708054;1.077;1.397;135;3333.32550127509
680.0;250;20.84;14.91501907735;5.68505029483177;13.62;6.73;70.5607804594872;1.09;1.411;136;3312.24735392583
683.0;250;20.85;14.9450549450549;5.68337912087912;13.62;6.74;69.7369495262777;1.114;1.442;137;3260.46043099089
685.0;250;20.86;14.9396759738021;5.69114098586694;13.6;6.75;69.2837758153287;1.117;1.446;138;3248.24162827052
688.0;250;20.86;14.9443671766342;5.68150208623088;13.6;6.76;69.8033433854662;1.098;1.424;139;3269.8582361385
690.0;250;20.86;14.9454801266268;5.66303200844179;13.62;6.76;70.6266458176586;1.068;1.396;139;3311.03251232634
693.0;250;20.85;14.9470712773465;5.65278757939308;13.61;6.77;71.0082491002685;1.055;1.388;140;3321.74594069025
696.0;250;20.85;14.9265734265734;5.65734265734266;13.58;6.8;71.0489648394315;1.06;1.404;139;3338.28222035381
698.0;250;20.85;14.8996539792388;5.68858131487889;13.51;6.85;70.1988062857973;1.078;1.442;139;3314.49051532049
701.0;250;20.85;14.8360655737705;5.74453551912568;13.4;6.92;68.6430584614908;1.118;1.493;138;3277.12056874471
704.0;250;20.84;14.7393526405451;5.82964224872232;13.25;7.02;66.3915393769342;1.164;1.542;138;3214.65767757771
707.0;250;20.82;14.6013513513514;5.91891891891892;13.11;7.11;65.127890348859;1.207;1.575;138;3219.97784239567
710.0;250;20.81;14.4873949579832;5.98655462184874;13;7.17;64.8056804941105;1.227;1.583;138;3263.89731352868
712.0;250;20.81;14.4102054340623;6.02054340622929;12.95;7.19;65.9065476526943;1.232;1.571;138;3368.50196005097
716.0;250;20.81;14.3365162989793;6.07178136318736;12.92;7.22;65.828282567944;1.286;1.538;138;3406.9273731276
718.0;250;20.82;14.2913000977517;6.11599869664386;12.92;7.24;66.1238420554196;1.34;1.501;138;3454.07938169641
721.0;250;20.83;14.2824822236587;6.15061409179056;12.93;7.27;66.0349095801913;1.39;1.478;138;3458.02959033698
724.0;250;20.84;14.3325828240592;6.13702155033773;12.96;7.28;66.9621013067958;1.371;1.471;139;3480.50033447181
726.0;250;20.84;14.3880501124317;6.12913588178606;13;7.29;67.3325574478305;1.36;1.47;140;3463.48147756104
729.0;250;20.84;14.4864;6.0736;13.08;7.26;69.1560645580984;1.29;1.476;140;3496.10078271577
732.0;250;20.85;14.586228679722;6.02653190145294;13.15;7.23;70.7282272328571;1.242;1.498;141;3520.02734873656
735.0;250;20.85;14.6645865834633;5.98127925117005;13.22;7.2;72.2854045087079;1.193;1.521;141;3547.34839354557
737.0;250;20.86;14.6739469578783;5.99063962558502;13.23;7.21;71.8091463530869;1.207;1.525;142;3523.04125460267
740.0;250;20.86;14.6718995290424;5.99686028257457;13.23;7.21;71.7022285838176;1.201;1.518;142;3519.27841574159
743.0;250;20.86;14.6470402025958;6.00506489395378;13.2;7.22;71.2216805550633;1.203;1.512;142;3511.31982598877
745.0;250;20.85;14.6460459183673;5.99808673469388;13.19;7.21;71.5730798442127;1.188;1.494;142;3522.4160074072
748.0;250;20.85;14.6602564102564;5.98397435897436;13.2;7.19;71.9320593176617;1.177;1.478;141;3531.46637843343
752.0;250;20.84;14.6819733167856;5.97890164443066;13.2;7.19;72.8793473668797;1.188;1.519;141;3560.04429722439
755.0;250;20.83;14.6775147928994;5.99112426035503;13.17;7.21;72.4420817970674;1.254;1.602;141;3536.86766692104
758.0;250;20.83;14.6668540905257;6.00506044419455;13.13;7.23;72.2871866600063;1.321;1.691;141;3539.06334477142
761.0;250;20.82;14.6560264171712;6.00165107319758;13.12;7.24;72.1044684736749;1.359;1.726;141;3534.58375677608
764.0;250;20.81;14.6619794483505;5.99242833964305;13.12;7.23;72.7143642327124;1.377;1.736;141;3557.20640753578
767.0;250;20.8;14.6096551724138;6.02206896551724;13.11;7.24;71.7166717836239;1.428;1.666;141;3534.60776736837
769.0;250;20.8;14.5496139548184;6.05661995996568;13.11;7.24;71.4235306200331;1.442;1.555;142;3557.00247119874
771.0;250;20.8;14.4995491433724;6.08355876164713;13.14;7.22;71.8090199477279;1.418;1.418;142;3604.56708470783
774.0;250;20.8;14.4975639464068;6.09013398294763;13.18;7.2;72.911965792421;1.401;1.356;143;3659.66404558452
